|                                          |   ('prices', 'mean') |   ('prices', 'min') |   ('prices', 'max') |   ('avg_days_since_last_order', 'mean') |   ('avg_days_since_last_order', 'min') |   ('avg_days_since_last_order', 'max') |
| (69, 'divorced/widowed')                 |                7.806 |                   1 |                  25 |                                  10.479 |                                  0     |                                     30 |
| (69, 'married')                          |                7.816 |                   1 |                  25 |                                  10.75  |                                  1.77  |                                     30 |
| (70, 'divorced/widowed')                 |                7.768 |                   1 |                  25 |                                  10.727 |                                  1.427 |                                     30 |
| (70, 'married')                          |                7.788 |                   1 |                  25 |                                  11.124 |                                  1.421 |                                     30 |
| (71, 'divorced/widowed')                 |                7.737 |                   1 |                  25 |                                  10.949 |                                  3.097 |                                     30 |
| (71, 'married')                          |                7.825 |                   1 |                  25 |                                  11.013 |                                  1.283 |                                     30 |
| (72, 'divorced/widowed')                 |                7.823 |                   1 |                  25 |                                  11.327 |                                  1.627 |                                     30 |
| (72, 'married')                          |                7.801 |                   1 |                  25 |                                  11.059 |                                  0.233 |                                     30 |
| (73, 'divorced/widowed')                 |                7.779 |                   1 |                  25 |                                  10.823 |                                  2.217 |                                     30 |
| (73, 'married')                          |                7.799 |                   1 |                  25 |                                  10.91  |                                  0.726 |                                     30 |
| (74, 'divorced/widowed')                 |                7.849 |                   1 |                  25 |                                  11.178 |                                  2.375 |                                     30 |
| (74, 'married')                          |                7.786 |                   1 |                  25 |                                  10.946 |                                  1.507 |                                     30 |
| (75, 'divorced/widowed')                 |                7.804 |                   1 |                  25 |                                  10.491 |                                  1.393 |                                     30 |
| (75, 'married')                          |                7.779 |                   1 |                  25 |                                  10.964 |                                  0.579 |                                     30 |
| (76, 'divorced/widowed')                 |                7.837 |                   1 |                  25 |                                  11.622 |                                  2.458 |                                     30 |
| (76, 'married')                          |                7.764 |                   1 |                  25 |                                  10.864 |                                  1.063 |                                     30 |
| (77, 'divorced/widowed')                 |                7.756 |                   1 |                  25 |                                  10.918 |                                  2.065 |                                     30 |
| (77, 'married')                          |                7.759 |                   1 |                  25 |                                  11.136 |                                  1.56  |                                     30 |
| (78, 'divorced/widowed')                 |                7.873 |                   1 |                  25 |                                  11.027 |                                  1.524 |                                     30 |
| (78, 'married')                          |                7.79  |                   1 |                  25 |                                  11.205 |                                  0.571 |                                     30 |
| (79, 'divorced/widowed')                 |                7.754 |                   1 |                  25 |                                  11.411 |                                  1.811 |                                     30 |
| (79, 'married')                          |                7.784 |                   1 |                  25 |                                  10.708 |                                  0.304 |                                     30 |
| (80, 'divorced/widowed')                 |                7.858 |                   1 |                  25 |                                  10.711 |                                  2.26  |                                     30 |
| (80, 'married')                          |                7.786 |                   1 |                  25 |                                  10.972 |                                  1.239 |                                     30 |
| (81, 'divorced/widowed')                 |                7.8   |                   1 |                  25 |                                  10.44  |                                  1.474 |                                     30 |
| (81, 'married')                          |                7.805 |                   1 |                  25 |                                  11.265 |                                  1.596 |                                     30 |
